Election date,Poll ID,State,Pollster,Sponsors,Poll start date,Poll end date,Source,Partisan,Method,Population type,Observations,Democratic,Republican,Other,Undecided
2012-11-06,14263-0-0,AL,Capital Survey Research Center,,2012-06-07,2012-06-27,http://polltracker.talkingpointsmemo.com/polls/4ff1a8b48906b655e100000c,Nonpartisan,Live Phone,Likely Voters,551.0,36.0,51.0,0.0,0.0
2012-11-06,13437-0-0,AR,Hendrix College,,2012-03-26,2012-03-26,http://talkbusiness.net/2012/03/obama-holding-democrats-but-failing-with-independent-voters/,Nonpartisan,Automated Phone,Likely Voters,759.0,33.0,57.0,0.0,11.0
2012-11-06,15292-0-0,AR,Hendrix College,,2012-09-17,2012-09-17,http://talkbusiness.net/2012/09/mitt-romney-holds-big-lead-on-president-obama/,Nonpartisan,Automated Phone,Likely Voters,2228.0,35.0,56.0,0.0,7.0
2012-11-06,16105-0-0,AR,U of Arkansas,,2012-10-09,2012-10-14,http://www.uark.edu/depts/plscinfo/partners/arkpoll/12/2012_Arkansas_Poll_Summary_Report.pdf,Nonpartisan,Live Phone,Likely Voters,642.0,31.0,58.0,0.0,11.0
2012-11-06,12612-0-0,AZ,Behavior Research Center,,2011-10-13,2011-10-24,http://www.realclearpolitics.com/docs/2011/RMP_AZ_102611.pdf,Nonpartisan,Live Phone,Registered Voters,581.0,45.0,40.0,0.0,15.0
2012-11-06,12521-0-0,AZ,PPP (D),,2011-11-17,2011-11-20,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_AZ_1128925.pdf,Pollster,Automated Phone,Likely Voters,500.0,42.0,49.0,0.0,9.0
2012-11-06,12520-0-0,AZ,Behavior Research Center,,2012-01-05,2012-01-09,http://www.brcpolls.com/12/RMP%202012-I-01.pdf,Nonpartisan,Live Phone,Registered Voters,553.0,37.0,43.0,0.0,20.0
2012-11-06,12966-1-0,AZ,PPP (D),,2012-02-17,2012-02-19,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_AZ_0222.pdf,Pollster,Automated Phone,Registered Voters,743.0,47.0,47.0,0.0,6.0
2012-11-06,12990-1-0,AZ,NBC/Marist,,2012-02-19,2012-02-20,http://maristpoll.marist.edu/wp-content/misc/AZpolls/AZ120219/Republican%20Primary%202012/Complete%20February%2022nd%202012%20Arizona%20NBC%20News-Marist%20Poll%20Tables.pdf,Nonpartisan,Live Phone,Registered Voters,1265.0,40.0,45.0,0.0,15.0
2012-11-06,13221-1-0,AZ,Rasmussen,,2012-03-13,2012-03-13,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/arizona/election_2012_arizona_president,Nonpartisan,Automated Phone,Likely Voters,500.0,40.0,51.0,7.0,2.0
