Election date,Poll ID,State,Pollster,Sponsors,Poll start date,Poll end date,Source,Partisan,Method,Population type,Observations,Democratic,Republican,Other,Undecided
2016-11-08,25357-0-0,AK,WashPost/SurveyMonkey,,2016-08-09,2016-09-01,http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/,Nonpartisan,Internet,Registered Voters,989.0,39.0,47.0,0.0,14.0
2016-11-08,25357-1-0,AK,WashPost/SurveyMonkey,,2016-08-09,2016-09-01,http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/,Nonpartisan,Internet,Registered Voters,989.0,31.0,38.0,26.0,6.0
2016-11-08,25407-0-0,AK,Moore (R-Murkowski),,2016-08-27,2016-08-29,http://midnightsunak.com/wp-content/uploads/2016/09/Memo-AK-Senator-Murkowski-Aug2016.pdf,Sponsor,Live Phone,Likely Voters,500.0,29.0,39.0,14.0,17.0
2016-11-08,26093-0-0,AK,Moore (R-Murkowski),,2016-09-13,2016-09-15,http://big.assets.huffingtonpost.com/Murkowski.pdf,Sponsor,Live Phone,Likely Voters,500.0,31.0,39.0,13.0,16.0
2016-11-08,26166-0-0,AK,Alaska Survey Research/Alaska Dispatch News,,2016-09-28,2016-10-02,https://www.adn.com/politics/2016/10/11/polls-murkowski-holds-substantial-lead-in-u-s-senate-race/,Nonpartisan,Live Phone,Registered Voters,660.0,42.0,46.0,0.0,12.0
2016-11-08,26166-1-0,AK,Alaska Survey Research/Alaska Dispatch News,,2016-09-28,2016-10-02,https://www.adn.com/politics/2016/10/11/polls-murkowski-holds-substantial-lead-in-u-s-senate-race/,Nonpartisan,Live Phone,Registered Voters,660.0,31.0,36.0,24.0,9.0
2016-11-08,26094-0-0,AK,Moore (R-Murkowski),,2016-10-05,2016-10-06,http://big.assets.huffingtonpost.com/Murkowski.pdf,Sponsor,Live Phone,Likely Voters,500.0,34.0,37.0,12.0,18.0
2016-11-08,26441-1-0,AK,SurveyMonkey,,2016-10-18,2016-10-24,https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus,Nonpartisan,Internet,Likely Voters,443.0,31.0,46.0,21.0,2.0
2016-11-08,26551-0-0,AK,Craciun Research (D),,2016-10-21,2016-10-26,http://www.craciunresearch.com/clinton-leads-trump-by-4-pts-in-alaska/,Pollster,Live Phone,Likely Voters,400.0,47.0,43.0,10.0,0.0
2016-11-08,26592-1-0,AK,UPI/CVOTER,,2016-10-23,2016-10-29,https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html,Nonpartisan,Internet,Likely Voters,304.0,41.0,55.0,4.0,0.0
2016-11-08,26596-1-0,AK,SurveyMonkey,,2016-10-25,2016-10-31,https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus,Nonpartisan,Internet,Likely Voters,300.0,38.0,46.0,15.0,2.0
2016-11-08,26793-1-0,AK,UPI/CVOTER,,2016-10-30,2016-11-06,https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html,Nonpartisan,Internet,Likely Voters,308.0,41.0,53.0,7.0,0.0
2016-11-08,26807-1-0,AK,SurveyMonkey,,2016-11-01,2016-11-07,https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus,Nonpartisan,Internet,Likely Voters,409.0,31.0,48.0,19.0,3.0
2016-11-08,23359-1-0,AZ,Strategies 360,,2015-12-04,2015-12-09,http://www.strategies360.com/wp-content/uploads/2015/12/15-340-AZ-Public-Poll-Toplines.pdf,Nonpartisan,Live Phone,Likely Voters,504.0,42.0,44.0,0.0,13.0
2016-11-08,24105-1-0,AZ,Merrill/WestGroup,,2016-03-07,2016-03-11,http://big.assets.huffingtonpost.com/MerillPollGeneralPR.pdf,Nonpartisan,Live Phone,Likely Voters,701.0,38.0,38.0,0.0,24.0
2016-11-08,24357-0-0,AZ,Behavior Research Center,,2016-04-04,2016-04-11,http://www.brcpolls.com/16/RMP%202016-II-04.pdf,Nonpartisan,Live Phone,Registered Voters,564.0,42.0,35.0,0.0,23.0
2016-11-08,24504-0-0,AZ,PPP (D),,2016-05-13,2016-05-15,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_51716.pdf,Pollster,IVR/Online,Likely Voters,896.0,38.0,40.0,8.0,13.0
2016-11-08,24504-1-0,AZ,PPP (D),,2016-05-13,2016-05-15,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_51716.pdf,Pollster,IVR/Online,Likely Voters,896.0,41.0,45.0,0.0,14.0
2016-11-08,24841-0-0,AZ,GQR (D-Democracy Corps/Women's Voices Women Vote),Democracy Corps,2016-06-11,2016-06-20,http://big.assets.huffingtonpost.com/Dcorps_WV_BG_2016.pdf,Sponsor,Live Phone,Likely Voters,300.0,43.0,48.0,6.0,3.0
2016-11-08,24841-1-0,AZ,GQR (D-Democracy Corps/Women's Voices Women Vote),Democracy Corps,2016-06-11,2016-06-20,http://big.assets.huffingtonpost.com/Dcorps_WV_BG_2016.pdf,Sponsor,Live Phone,Likely Voters,300.0,39.0,45.0,13.0,4.0
